origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-02-25,ARI incidence,2026-03-08,3,RO,quantile,0.025,502.1754
2026-02-25,ARI incidence,2026-03-15,4,RO,quantile,0.025,528.2052
2026-02-25,ARI incidence,2026-02-22,1,SI,quantile,0.025,1205.9065
2026-02-25,ARI incidence,2026-03-01,2,SI,quantile,0.025,1059.5697
2026-02-25,ARI incidence,2026-03-08,3,SI,quantile,0.025,935.46967
2026-02-25,ARI incidence,2026-03-15,4,SI,quantile,0.025,900.5072
2026-02-25,ARI incidence,2026-02-22,1,SK,quantile,0.025,1560.3241
2026-02-25,ARI incidence,2026-03-01,2,SK,quantile,0.025,1418.5385
2026-02-25,ARI incidence,2026-03-08,3,SK,quantile,0.025,1316.9012
2026-02-25,ARI incidence,2026-03-15,4,SK,quantile,0.025,1231.8163
2026-02-25,ARI incidence,2026-02-22,1,GB-ENG,quantile,0.025,240.1663
2026-02-25,ARI incidence,2026-03-01,2,GB-ENG,quantile,0.025,222.33687
2026-02-25,ARI incidence,2026-03-08,3,GB-ENG,quantile,0.025,210.8946
2026-02-25,ARI incidence,2026-03-15,4,GB-ENG,quantile,0.025,194.69656
2026-02-25,ARI incidence,2026-02-22,1,GB-NIR,quantile,0.025,155.97562
2026-02-25,ARI incidence,2026-03-01,2,GB-NIR,quantile,0.025,138.91087
2026-02-25,ARI incidence,2026-03-08,3,GB-NIR,quantile,0.025,126.25992
2026-02-25,ARI incidence,2026-03-15,4,GB-NIR,quantile,0.025,111.5244
2026-02-25,ARI incidence,2026-02-22,1,GB-SCT,quantile,0.025,129.27321
2026-02-25,ARI incidence,2026-03-01,2,GB-SCT,quantile,0.025,119.30019
2026-02-25,ARI incidence,2026-03-08,3,GB-SCT,quantile,0.025,107.012184
2026-02-25,ARI incidence,2026-03-15,4,GB-SCT,quantile,0.025,98.97427
2026-02-25,ARI incidence,2026-02-22,1,GB-WLS,quantile,0.025,48.713066
2026-02-25,ARI incidence,2026-03-01,2,GB-WLS,quantile,0.025,37.992577
2026-02-25,ARI incidence,2026-03-08,3,GB-WLS,quantile,0.025,23.631071
2026-02-25,ARI incidence,2026-03-15,4,GB-WLS,quantile,0.025,11.362061
2026-02-25,ARI incidence,2026-02-22,1,BG,quantile,0.05,822.60645
2026-02-25,ARI incidence,2026-03-01,2,BG,quantile,0.05,725.2226
2026-02-25,ARI incidence,2026-03-08,3,BG,quantile,0.05,648.4242
2026-02-25,ARI incidence,2026-03-15,4,BG,quantile,0.05,640.80505
2026-02-25,ARI incidence,2026-02-22,1,CY,quantile,0.05,11366.073
2026-02-25,ARI incidence,2026-03-01,2,CY,quantile,0.05,10176.164
2026-02-25,ARI incidence,2026-03-08,3,CY,quantile,0.05,9313.715
2026-02-25,ARI incidence,2026-03-15,4,CY,quantile,0.05,8245.357
2026-02-25,ARI incidence,2026-02-22,1,CZ,quantile,0.05,960.2929
2026-02-25,ARI incidence,2026-03-01,2,CZ,quantile,0.05,905.5121
2026-02-25,ARI incidence,2026-03-08,3,CZ,quantile,0.05,854.67065
2026-02-25,ARI incidence,2026-03-15,4,CZ,quantile,0.05,791.29315
2026-02-25,ARI incidence,2026-02-22,1,DE,quantile,0.05,1482.3018
2026-02-25,ARI incidence,2026-03-01,2,DE,quantile,0.05,1382.639
2026-02-25,ARI incidence,2026-03-08,3,DE,quantile,0.05,1241.2915
2026-02-25,ARI incidence,2026-03-15,4,DE,quantile,0.05,1132.0449
2026-02-25,ARI incidence,2026-02-22,1,EE,quantile,0.05,227.39165
2026-02-25,ARI incidence,2026-03-01,2,EE,quantile,0.05,198.96092
2026-02-25,ARI incidence,2026-03-08,3,EE,quantile,0.05,174.20886
2026-02-25,ARI incidence,2026-03-15,4,EE,quantile,0.05,157.3777
2026-02-25,ARI incidence,2026-02-22,1,ES,quantile,0.05,370.88287
2026-02-25,ARI incidence,2026-03-01,2,ES,quantile,0.05,345.0431
2026-02-25,ARI incidence,2026-03-08,3,ES,quantile,0.05,320.612
2026-02-25,ARI incidence,2026-03-15,4,ES,quantile,0.05,303.59525
2026-02-25,ARI incidence,2026-02-22,1,FI,quantile,0.05,2327.1272
2026-02-25,ARI incidence,2026-03-01,2,FI,quantile,0.05,2181.237
2026-02-25,ARI incidence,2026-03-08,3,FI,quantile,0.05,2068.1016
2026-02-25,ARI incidence,2026-03-15,4,FI,quantile,0.05,2002.2103
2026-02-25,ARI incidence,2026-02-22,1,FR,quantile,0.05,182.13365
